,mae,mse,rmse,mape,mspe,exp_name,model_name,features_powerset,pred_len,dataset
0,0.33599585,0.17251405,0.4153481,0.24427448,0.08585101,long_term_forecast_336_96powerset_MUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['MUFL'],336,ETTh1
0,0.33838883,0.173259,0.4162439,0.23891948,0.07863428,long_term_forecast_336_96powerset_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['LUFL', 'LULL']",336,ETTh1
0,0.34951136,0.17482457,0.41812027,0.24970818,0.08368207,long_term_forecast_96_96powerset_HUFL_MUFL_LUFL.csv_LSTM_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,LSTM,"['HUFL', 'MUFL', 'LUFL']",96,ETTh1
0,0.33554867,0.17520821,0.4185788,0.24462332,0.08627492,long_term_forecast_192_96powerset_MUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['MUFL'],192,ETTh1
0,0.3460024,0.17526372,0.41864508,0.24828309,0.08294776,long_term_forecast_192_96powerset_HUFL_HULL_MULL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'HULL', 'MULL', 'LULL']",192,ETTh1
0,0.34191516,0.17618586,0.419745,0.2481495,0.08573325,long_term_forecast_192_96powerset_HUFL_MUFL_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'MUFL', 'LUFL']",192,ETTh1
0,0.34447876,0.17671974,0.42038047,0.23951681,0.07859119,long_term_forecast_720_96powerset_HULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['HULL'],720,ETTh1
0,0.3448263,0.17707959,0.42080826,0.24664281,0.08140805,long_term_forecast_96_96powerset_HUFL_MUFL_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'MUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.34390777,0.17794585,0.4218363,0.25058964,0.089420564,long_term_forecast_336_96powerset_HUFL_MUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL']",336,ETTh1
0,0.34476635,0.18099952,0.42544037,0.24805844,0.086891174,long_term_forecast_336_96powerset_MUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['MUFL', 'LULL']",336,ETTh1
