,mae,mse,rmse,mape,mspe,exp_name,model_name,pred_len,lookback_len,pwindow,pconstructor,dataset
0,0.026987126,0.0013373117,0.03656927,0.6428067,1.9489264,long_term_forecast_96_96Weather_w1251_ipentropy.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1251,ipentropy.csv,Weather
0,0.02703976,0.0013374289,0.036570877,0.64524144,1.9586223,long_term_forecast_96_96Weather_w751_ipfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,751,ipfarm.csv,Weather
0,0.026994979,0.0013378708,0.036576916,0.64382637,1.9506216,long_term_forecast_96_96Weather_w1501_pentropy.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1501,pentropy.csv,Weather
0,0.026901271,0.0013381048,0.036580116,0.6515129,2.0344355,long_term_forecast_96_96Weather_w1501_prollcov.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1501,prollcov.csv,Weather
0,0.026761085,0.0013382258,0.03658177,0.63424164,1.8582485,long_term_forecast_96_96Weather_w1501_psmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1501,psmoothrandomwalk.csv,Weather
0,0.02704416,0.0013395447,0.03659979,0.64247835,1.9261361,long_term_forecast_96_96Weather_w751_pfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,751,pfarm.csv,Weather
0,0.026930556,0.0013419255,0.0366323,0.6563315,2.1233919,long_term_forecast_96_96Weather_w1001_ipmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1001,ipmutual_info.csv,Weather
0,0.027016686,0.0013421589,0.03663549,0.64457756,1.9606878,long_term_forecast_96_96Weather_w1251_pfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1251,pfarm.csv,Weather
0,0.026991848,0.0013424747,0.0366398,0.65957326,2.1322255,long_term_forecast_96_96Weather_w1001_prollcorr.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1001,prollcorr.csv,Weather
0,0.027028598,0.0013426971,0.03664283,0.65176517,2.0105748,long_term_forecast_96_96Weather_w501_prollcov.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,prollcov.csv,Weather
